,Artist,Title,Days,T10,Pk,x,PkStreams,Total
7142,Ariana Grande,Winter Things,5,1,6,,10577,25482.0
7143,HUSH,對等關係,7,78,6493,,25467,
7144,Imagine Dragons,Shots,15,24,4066,,25463,
7145,Imagine Dragons,Eyes Closed,2,166,13043,,25457,
7146,Jennifer Lopez,"Amor, Amor, Amor",5,51,8186,,25450,
7147,V,FRI(END)S (Slowed Down),2,170,12970,,25436,
7148,Drake,"Hold On, We're Going Home",23,95,1252,,25416,
7149,TAEMIN,Criminal,4,146,7307,,25413,
7150,Khalil Fong,紅豆,9,101,4379,,25406,
7151,The Weeknd,Love To Lay,8,67,4458,,25372,
7152,Della,當我的好朋友,12,110,2632,,25365,
7153,Hu Xia,閱讀愛情,6,67,6795,,25336,
7154,Sia,Elastic Heart,12,47,2570,,25332,
7155,TWS,hey! hey!,2,182,13009,,25316,
7156,GBOYSWAG,繽紛了每一天,7,70,6268,,25282,
7157,Xian Zi,只能這樣了,7,71,4978,,25276,
7158,YooA,Bon voyage,4,154,6711,,25272,
7159,Kelly Clarkson,Heat,4,44,9712,,25271,
7160,MNEK,Colour,8,154,3500,,25267,
7161,ロクデナシ,ただ声一つ,4,167,6500,,25254,
7162,Cyndi Wang,境遷,6,57,6873,,25248,
7163,Janet Suhh,Home,4,165,6767,,25248,
7164,The 1975,Girls,13,40,2309,,25215,
7165,羅莎莎,撞牆 feat. POPO J,3,190,8536,,25206,
7166,Billie Eilish,listen before i go,5,150,5366,,25200,
7167,Camila Cabello,Crown,6,81,6735,,25176,
7168,LANY,ex i never had,4,160,6542,,25167,
7169,Jason Mraz,Lucky,9,17,5171,,25166,
7170,PRETTYMUCH,Up to You,4,131,7187,,25143,
7171,JJ Lin,Until The Day,6,83,4856,,25138,
7172,小蓝背心,目及皆是你,4,146,7795,,25132,
7173,EXO,SC,4,146,6815,,25118,
7174,Sam Smith,No Peace,6,76,5395,,25099,
7175,A,Mei Chang,8,123,4058,,25075,
7176,陳柯宇,生僻字,5,124,5371,,25070,
7177,Dennis Lloyd,Never Go Back,6,157,5005,,25066,
7178,ØZI,ADICA,2,99,12911,,25062,
7179,5 Seconds of Summer,Killer Queen,6,62,7031,,25026,
7180,柯智棠,To Be Forgotten,10,100,3512,,25000,
7181,TAEYEON,To the moon,3,103,10358,,24961,
7182,TANK 呂建忠,老友記,2,157,13014,,24953,
7183,Lana Del Rey,Venice Bitch,5,50,6963,,24951,
7184,Cosmos People,兩人雨天,15,127,3387,,24949,
7185,Shin,一眼一生,6,88,5871,,24934,
7186,The Weeknd,The Hills,12,122,2424,,24920,
7187,TAEYEON,You Better Not,3,96,10062,,24912,
7188,Holly Brook,Saturdays,8,111,3749,,24901,
7189,Alesso,Cool,19,84,2127,,24886,
7190,Angela Chang,夢裡花,7,79,6248,,24881,
7191,Hu Xia,何為永恆(電視劇《倚天屠龍記》片尾曲),5,116,6742,,24870,
7192,Martin Garrix,In the Name of Love,11,140,2523,,24864,
7193,Coldplay,Champion Of The World,4,129,7999,,24847,
7194,Lana Del Rey,Young And Beautiful,19,105,1700,,24830,
7195,S.H.E,热带雨林,6,107,5951,,24785,
7196,TWICE,DIVE,2,199,12731,,24785,
7197,Shunza,Dear Friend,8,83,4601,,24780,
7198,TAEYEON,먼저 말해줘 Farewell,9,41,5179,,24755,
7199,Eric Nam,Can't Help Myself,11,100,2852,,24746,
7200,Linked Horizon,Nisennen... Moshiku wa... Nimannen Go no Kimi e,2,159,12390,,24723,
7201,Julia Sheer,Little Talks,18,83,1852,,24715,
7202,Calum Scott,Dancing On My Own,10,128,3046,,24707,
7203,LBI利比,潜意识,2,167,12728,,24691,
7204,Chyi Chin,鼓聲若響,7,86,5428,,24682,
