Track_id,Track_name,Track_ms,Track_number
3sXWFs0hku4tR5cy54PnRz,Some Things I'll Never Know,242317,1
17phhZDn6oGtzMe56NuWvj,Lose Control,210688,2
1MmNMaPzI1uZQS20RV88AT,What More Can I Say,141141,3
3dj4wgM3cPeuLwMNHDuBon,The Door,212648,4
2L6pMQRcT6aM0Lq5FycBke,Goodbye's Been Good to You,164634,5
78OTnBQndIIfCswsAIBNFs,Last Communion,217469,6
4c1RuddayQTE5dpURdynD5,You Still Get to Me,208339,7
0IDKI9KI71q4YPrW58hNtA,Suitcase,168832,8
1EWKlsk5xEsDnejpkPkFVZ,Flame,144660,9
6MgKLLyCDKkmQF8PBB5zst,Evergreen,166348,10
2ZAEbGGj1yXJRCoVaEn16K,Dirty (feat. Teddy Swims),173361,1
6VD3T09spn64tjPcBih64P,The Door - CYRIL Remix,210476,1
44NNrscRFn5UdtrtU2Uwhw,The Door,212648,2
4m1xjbJPiWDy1IRPe9PbPZ,Funeral,234090,1
4yq8Oc51K2mgLfo9BjU3Rr,The Door (Tiago PZK Version),212648,1
2RYgQaCMCglPgiKZe6HHaD,Lose Control - Tiësto Remix,165000,1
2xsJAmqspGsVb2OK4tkBKS,Lose Control - Tiësto Extended Remix,208124,2
1bWmVmiiC7cn5QhO5GtHX5,Lose Control - Live at The Ryman,343800,1
0xHt1jLro8dv9ilIAxOHSG,Lose Control - Live at The Ryman,343800,1
6Qw4mOkFM3UjCf3ybd4zCE,Lose Control - Tiësto Remix,165000,2
7b0fpuq2aRMB9RfcSOWjNW,Lose Control - Piano Version,206426,3
4U954vDqebfDJxSd1HS1Kk,Lose Control - Strings Version,208843,4
7dl5iZPCiPDSFJdpzZpiF5,Lose Control - Live,240734,5
4YX65zX7j9aO6ovXT3WRsj,Lose Control - Radio Edit,149690,6
7JstXLMgX4s5buZgoVnEEH,Lose Control - goddard. Remix,160891,7
3C6FIxUJNCx7Rhs4iUzXKa,Lose Control - BBC Radio 1 Live Lounge Session,207295,8
4rMx8fEyJN90VZBHKE70Uz,Lose Control - Sped Up,175940,9
5401jLKuu9mz56s5KKht9H,Lose Control - A Cappella,205226,10
3s1F9SW2q1zJOLlmSaa7iN,Lose Control - Slowed Down,236490,11
1vwLIrREtoZcYdfP5EVsNh,Lose Control - Instrumental,210688,12
3oSGigVd5RezNkTV9PRGmL,Some Things I'll Never Know (feat. Maren Morris),242317,1
6usohdchdzW9oML7VC4Uhk,Lose Control,210688,1
5lujBnGhaV4zgazZ6A8S5g,Happy People (with Teddy Swims & Jac Ross),295000,1
6HPF8EnycKjys9R3vjgvUO,What More Can I Say,141141,1
2R5hXZrxhgwycn39rC0OdQ,FACE MYSELF,227903,1
0TOF1TzX3FDg1m54VLTFyI,Easy To Love - Matoma VIP Mix,200625,1
7uk21BLNOgktQIGukli6xh,Easy To Love - Tanner Wilfong & Assaf Remix,169486,2
7uhp1skMZG9m8jZzrN2TB4,Easy To Love - Armin van Buuren Club Mix,139384,3
7AK9HwlSE2ZvBcZxlzH50u,Easy To Love,151820,4
36fFojPImg5YSuktc7ph3j,Easy To Love,151820,1
3YeBXUEWIjCtcsv0tULpz8,Devil in a Dress,175081,1
4NP7m0lFf4JXa2yp9RfqKq,2 Moods,144901,2
26ETsbVhx34daSYeBGmvgl,dose,180807,3
144wciVMFV19YTkmZ50g4z,Someone Who Loved You,177930,4
6idMGO9JlieYd6PtxasVnN,The Plan,167551,5
1o3kKSPLb3hLAlHfsWDrO1,Hold Me,198949,6
0LCkj8JSa3pahuphDXiOwZ,Only Love Can Hurt Like This (feat. Teddy Swims) - Remix,232153,1
2tDDhMgR6xEo7KzyphAVUx,Better (feat. Teddy Swims) - Extended,318737,1
6MYMrzDRjdpwAk5X1oqlZZ,Better (feat. Teddy Swims),182462,2
24MoOLc4izxq0E0lzRxxJn,Better (feat. Teddy Swims) - Acoustic Version,150652,3
